TEIL;FA;COUNT;MIN;MAX;AVG;MIN_O;MAX_O;AVG_O
B;7945;97;288000;2933000;679309.28;1;1;1.00
B;8185;98;292000;1664000;395387.76;1;1;1.00
B;8189;100;290000;1180000;365750.00;1;1;1.00
B;5719;101;324000;2904000;551940.59;1;2;1.03
B;5952;99;330000;2535000;582000.00;1;2;1.01
B;6180;97;329000;3298000;624536.08;1;2;1.02
B;6484;102;282000;2500000;500803.92;1;2;1.01
B;7266;96;290000;2132000;455312.50;1;1;1.00
B;5796;98;342000;2526000;596918.37;1;1;1.00
B;7424;99;287000;2755000;434242.42;1;2;1.01
B;5792;102;261000;2638000;625519.61;1;2;1.05
B;7427;98;284000;2159000;498357.14;1;1;1.00
B;7555;97;292000;2317000;471742.27;1;1;1.00
C;5780;98;607000;3100000;766357.14;1;1;1.00
C;6677;99;465000;2398000;709030.30;1;2;1.01
C;6537;107;430000;3580000;648504.67;1;2;1.07
C;7748;98;436000;1485000;534897.96;1;1;1.00
C;8342;100;438000;2737000;549200.00;1;1;1.00
C;5691;101;601000;1402000;740801.98;1;2;1.01
C;5921;100;615000;2337000;761830.00;1;1;1.00
C;7664;101;437000;2731000;602594.06;1;2;1.01
C;7573;100;416000;2723000;545570.00;1;1;1.00
C;8350;97;439000;1344000;529175.26;1;1;1.00
C;9108;95;365000;1012000;496568.42;1;1;1.00
C;7659;100;434000;1857000;554720.00;1;1;1.00
C;7096;94;527000;1254000;633106.38;1;1;1.00
C;8349;98;462000;3160000;655030.61;1;1;1.00
C;8715;100;420000;2236000;502590.00;1;1;1.00
C;8819;99;422000;3058000;667424.24;1;1;1.00
C;9391;100;406000;2639000;554990.00;1;1;1.00
C;6470;100;406000;1975000;549760.00;1;1;1.00
C;7919;99;480000;2660000;686545.45;1;2;1.01
C;6754;99;470000;2144000;567616.16;1;1;1.00
C;7489;98;488000;3024000;595153.06;1;1;1.00
C;9307;100;385000;2332000;501880.00;1;1;1.00
C;8171;100;431000;3029000;566070.00;1;1;1.00
C;7483;97;425000;1359000;505793.81;1;1;1.00
C;8546;100;404000;2184000;505150.00;1;1;1.00
C;8542;99;403000;3474000;515515.15;1;2;1.01
C;6086;97;309000;2858000;550886.60;1;1;1.00
C;9117;97;378000;2939000;574556.70;1;1;1.00
C;6233;99;381000;2754000;589262.63;1;1;1.00
C;6089;100;373000;1653000;489960.00;1;1;1.00
C;6764;100;472000;2481000;606230.00;1;1;1.00
C;9112;100;376000;1644000;447440.00;1;1;1.00
C;6548;97;418000;3468000;550762.89;1;1;1.00
C;8812;99;425000;2453000;613949.49;1;2;1.01
C;9596;100;426000;2893000;543120.00;1;1;1.00
C;6305;102;390000;1774000;552284.31;1;2;1.02
C;6229;100;390000;2892000;558620.00;1;1;1.00
C;9685;100;421000;1944000;519480.00;1;1;1.00
C;6542;99;431000;3210000;583787.88;1;2;1.01
C;6387;98;405000;1271000;514653.06;1;1;1.00
C;9201;98;387000;1363000;472020.41;1;1;1.00
C;6473;100;425000;3412000;609330.00;1;1;1.00
C;8242;100;430000;2796000;610100.00;1;1;1.00
C;8821;101;425000;3312000;585485.15;1;2;1.01
C;9498;100;408000;1941000;492930.00;1;1;1.00
C;8820;100;432000;1087000;499550.00;1;1;1.00
C;7993;101;472000;3486000;628346.53;1;2;1.01
C;8922;100;427000;1149000;518060.00;1;1;1.00
C;9503;100;407000;2263000;505850.00;1;1;1.00
C;6540;100;420000;2560000;531200.00;1;1;1.00
C;8092;100;408000;2125000;541360.00;1;1;1.00
C;7917;104;460000;3289000;645076.92;1;2;1.04
C;6838;98;477000;2980000;721959.18;1;1;1.00
C;8336;99;445000;1569000;546414.14;1;2;1.01
C;9104;100;375000;2168000;480420.00;1;1;1.00
C;9492;100;416000;3300000;547470.00;1;1;1.00
C;8543;100;403000;1590000;476170.00;1;1;1.00
C;8431;99;443000;1327000;553050.51;1;2;1.01
C;8021;98;413000;1699000;504693.88;1;1;1.00
C;6389;98;413000;2359000;525000.00;1;1;1.00
C;6388;100;421000;2563000;534460.00;1;1;1.00
C;8233;100;432000;2533000;559620.00;1;1;1.00
C;8335;98;443000;2704000;546397.96;1;1;1.00
C;9591;100;423000;2943000;542810.00;1;1;1.00
C;7099;96;527000;2515000;728468.75;1;1;1.00
C;7877;98;463000;2885000;632561.22;1;1;1.00
C;8101;100;425000;1820000;548370.00;1;1;1.00
C;8177;98;430000;1997000;540132.65;1;1;1.00
C;9029;100;371000;2637000;581390.00;1;1;1.00
C;7030;100;511000;2520000;681430.00;1;1;1.00
C;8245;100;426000;2469000;554270.00;1;1;1.00
C;6541;99;431000;1978000;565414.14;1;2;1.01
C;7830;100;451000;2870000;640090.00;1;1;1.00
C;8909;100;437000;2186000;530460.00;1;1;1.00
C;8713;100;417000;1720000;487330.00;1;1;1.00
C;7407;100;545000;2349000;677890.00;1;2;1.02
C;7238;100;537000;2688000;734900.00;1;1;1.00
C;9206;100;383000;2102000;458740.00;1;1;1.00
C;8341;100;451000;2609000;538380.00;1;1;1.00
C;6842;99;479000;2759000;636909.09;1;1;1.00
C;9385;101;397000;2424000;582940.59;1;2;1.01
C;8808;101;417000;3067000;614594.06;1;2;1.01
C;9488;96;407000;3165000;582208.33;1;1;1.00
C;9114;99;376000;3337000;528727.27;1;2;1.01
C;9489;100;412000;2047000;484320.00;1;1;1.00
C;7331;98;549000;2109000;690459.18;1;1;1.00
C;6684;100;297000;2906000;664050.00;1;2;1.01
C;9203;100;384000;2242000;517100.00;1;1;1.00
C;8717;100;414000;1438000;560570.00;1;1;1.00
C;9679;100;431000;1888000;504210.00;1;1;1.00
C;6378;95;408000;1879000;551378.95;1;1;1.00
C;7829;98;448000;3407000;696714.29;1;1;1.00
C;8905;100;426000;2252000;577740.00;1;1;1.00
C;6673;101;460000;3078000;594554.46;1;2;1.01
C;9687;100;427000;2486000;551850.00;1;1;1.00
C;9111;100;372000;3184000;557080.00;1;1;1.00
C;5698;100;603000;2240000;716820.00;1;1;1.00
C;9684;100;428000;1155000;538690.00;1;2;1.01
C;7668;100;435000;1796000;551880.00;1;1;1.00
C;7097;98;526000;3238000;699653.06;1;1;1.00
C;9491;100;418000;3199000;519410.00;1;1;1.00
C;6091;98;373000;3150000;571826.53;1;1;1.00
C;8343;66;444000;3384000;644287.88;1;1;1.00
C;8822;100;429000;2342000;518610.00;1;1;1.00
C;7031;100;514000;2350000;701510.00;1;1;1.00
C;7166;98;533000;2589000;687551.02;1;1;1.00
C;7400;100;551000;2788000;676460.00;1;1;1.00
C;6231;100;385000;3030000;559440.00;1;1;1.00
C;9589;98;423000;1545000;511795.92;1;1;1.00
C;6967;100;500000;1305000;588110.00;1;1;1.00
