Lagerout;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
006058;80;6,43;82,98;17,21575
006059;80;5,02;77,87;12,39775
006060;80;4,57;91,52;14,055125
006061;80;4,57;58,94;12,084875
006062;99;5,32;223,8;22,20323232
006063;100;5,31;28918,7;594,7769
006064;100;5,9;100,12;14,9144
006065;100;5,22;9212,66;388,9046
006066;99;5,99;164,71;21,01151515
006067;100;5,42;9283,12;200,5733
006068;98;5,27;9200,94;203,6512245
006069;99;5,33;76,07;15,69656566
006070;100;6,94;55,06;13,8498
006071;100;6,87;94,08;16,7025
006072;100;6,46;8329,91;181,8581
006073;97;6,88;8335,27;189,0862887
006074;100;6,52;53,72;14,0655
006075;100;6,9;92;18,1422
006076;100;6,8;66,76;13,3412
006077;100;6,35;77,05;16,1708
006078;100;6,34;28314,08;584,125
