Lagerin;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
000044081;81;4,5;78,78;11,07123457
000044083;80;7,08;81,82;15,601625
000044086;100;4,92;81,89;10,7914
000044088;100;4,9;55,5;10,9806
000044090;103;4,87;8488,57;424,378835
000044093;100;4,53;8303,58;177,8894
000044096;102;4,49;152,82;14,7545098
000044097;101;4,58;136,19;15,25009901
000044100;101;4,33;28726,13;583,0829703
000044102;102;4,88;92,97;15,82068627
000044105;100;4,88;87,55;11,5569
000044118;92;5,03;8574,65;199,1761957
000044119;93;5,01;8969,65;205,5169893
000044121;86;5,02;61,73;12,285
000044124;92;5,06;78;14,15130435
000044127;101;5,44;52,19;13,43386139
000044129;100;5,2;167,04;16,2153
000044133;100;5,24;19185,4;396,794
000044138;102;5,18;132,31;14,72754902
000044142;101;5,24;8304,06;194,9948515
000044145;100;5,26;94,85;13,1548
000044148;100;5,06;50,72;13,7758
000044149;101;5,42;88,1;13,69544554
000044153;100;4,99;9191,08;200,0695
000044157;100;5,23;28305,98;582,1559
000044161;100;7,05;70,2;16,1235
000044162;102;6,98;150,26;16,38803922
000044168;99;7,04;8333,61;185,6610101
000044171;98;6,92;87,94;15,51326531
000044173;100;7,03;63,94;15,343
000044175;100;7,04;8325,98;183,43
000044178;89;4,5;8302,61;105,9335955
000044179;93;4,45;102,66;19,43043011
000044183;90;4,47;55,96;9,90966667
000044185;90;4,5;93,33;13,56955556
000044189;90;4,41;94,03;11,00588889
000044191;100;7,04;98,23;16,7218
000044194;100;6,96;65,45;13,5664
000044196;97;7,01;70,92;13,14134021
000044198;100;6,99;117,67;20,6901
000044200;101;7,08;381,35;19,1190099
000044201;103;7;74,48;16,53223301
000044205;90;4,41;55,07;10,32877778
000044208;92;4,47;66,36;14,37902174
000044214;90;4,43;77,81;12,65744444
000044256;103;5,17;48,7;13,07786408
000044258;97;5,16;9133,29;198,804433
000044263;99;5;76,73;14,77050505
000044265;100;5,02;8616,94;183,3752
000044268;100;5,12;84,89;12,6571
000044326;100;4,92;359,95;20,7953
000044330;102;4,46;88,96;13,01470588
000044332;101;4,91;82,86;13,38089109
000044336;101;5,01;92,87;17,47356436
000044340;99;4,47;66,94;12,42646465
000044344;101;4,87;86,49;12,79673267
000044345;100;4,87;8487,91;353,4359
000044352;100;4,48;47,79;10,6861
000044356;101;4,87;92,68;13,29415842
000044361;100;3,91;84,13;12,529
000044365;101;4,46;72,99;12,26415842
000044375;102;4,87;86,87;12,76441176
000044386;80;4,5;8358,01;217,672375
000044390;80;4,51;82,6;14,0015
000044396;83;7,19;324,16;30,63795181
000044399;80;4,46;90,86;11,853875
000044401;82;4,52;92,1;16,87743902
000044404;80;4,29;81,89;15,412125
000044411;82;4,47;8308,79;212,6241463
000044418;80;4,44;45,86;11,796375
000044421;82;4,44;86,82;13,66463415
000044431;91;5,18;446,91;18,66769231
000044435;94;5,09;73,73;12,3306383
000044442;88;5,21;8397,1;298,7442046
000044446;91;5,08;103,74;19,58615385
000044450;90;5,15;28312,98;642,7921111
000044451;90;5,07;452,66;28,11788889
000044454;90;4,49;80,58;12,99744444
000044457;91;4,45;60,88;11,25131868
000044461;91;4,43;75,88;13,58857143
000044465;96;4,42;99,23;14,19489583
000044467;92;4,41;8339,99;286,0969565
000044470;90;4,41;44,89;11,5
000044472;93;4,5;28351,98;630,9002151
000044476;92;4,45;192,17;20,51597826
000044479;90;4,45;68,13;10,10588889
000044503;100;4,46;101,71;12,1178
000044505;98;4,48;90;13,14030612
000044506;102;4,9;9150,57;193,6163726
000044516;100;7,17;48,91;14,047
000044519;102;7,05;165,52;16,71039216
000044522;100;7,1;78,95;13,1795
000044526;101;5,28;9321,03;294,4191089
000044531;101;5,22;83,85;15,23960396
000044536;100;5,16;84,51;12,6851
000044542;100;4,84;8306,56;180,921
000044545;101;5,14;197,98;15,64782178
000044553;100;5,05;80,9;11,9372
000044561;91;4,5;472,82;24,52076923
