TEIL;FA;COUNT;MIN;MAX;AVG
B;008843;101;286.0;1828.0;458.41
B;006399;100;291.0;2877.0;483.94
B;006857;100;285.0;1403.0;436.28
B;005868;100;327.0;3145.0;578.49
B;007883;100;293.0;892.0;361.11
B;007595;100;302.0;2337.0;475.46
B;005713;100;328.0;2582.0;517.95
B;006987;99;228.0;2641.0;474.48
B;007773;100;288.0;3510.0;499.87
B;008360;57;290.0;1670.0;456.38
B;008939;101;283.0;2665.0;433.22
B;006773;101;291.0;3341.0;728.1
B;005796;100;342.0;2526.0;596.92
B;008743;100;288.0;1666.0;410.46
B;009616;100;282.0;3440.0;584.99
B;007261;100;287.0;3129.0;512.93
B;009224;100;283.0;3393.0;391.88
B;009614;100;279.0;2602.0;409.41
B;008838;100;299.0;3163.0;428.25
B;006323;100;285.0;2863.0;505.86
B;007426;100;290.0;3369.0;565.22
B;009702;100;284.0;2657.0;433.7
B;006566;99;285.0;3049.0;547.41
B;006178;101;326.0;1290.0;495.36
B;008466;100;288.0;1569.0;353.12
B;007105;100;285.0;2667.0;530.04
B;006858;100;285.0;2626.0;640.0
B;009516;100;286.0;2258.0;479.87
B;009697;100;281.0;1968.0;392.32
B;008464;100;284.0;2724.0;534.91
B;008188;100;278.0;1272.0;434.31
B;008470;100;297.0;1160.0;389.62
B;006623;99;308.0;3504.0;622.44
B;007341;100;279.0;3444.0;559.54
B;008031;99;278.0;3169.0;588.33
B;006182;100;332.0;3491.0;591.32
B;007110;100;290.0;2989.0;467.21
B;008660;100;303.0;2345.0;581.58
B;007050;100;288.0;2862.0;482.48
B;009520;100;299.0;2248.0;481.7
B;009698;100;280.0;2327.0;413.56
B;008936;101;283.0;2127.0;530.72
B;007947;100;298.0;2545.0;455.41
B;006986;100;296.0;2187.0;408.16
B;006486;99;280.0;2790.0;514.09
B;006855;100;285.0;3460.0;552.86
B;007839;100;290.0;2321.0;528.1
B;008661;99;227.0;2618.0;478.23
B;008117;100;287.0;3148.0;407.08
B;008185;100;292.0;1664.0;395.39
B;006400;102;280.0;1591.0;474.23
B;006772;100;305.0;3383.0;646.09
B;007507;100;292.0;2507.0;529.44
B;006695;100;270.0;2420.0;506.29
B;008567;99;209.0;1616.0;393.49
B;008262;99;290.0;2523.0;423.61
B;006320;100;310.0;2656.0;605.33
B;008471;100;289.0;1183.0;382.8
B;006777;100;284.0;2457.0;519.46
B;007678;100;279.0;1466.0;458.44
B;008186;100;287.0;1912.0;495.71
B;008267;99;290.0;1121.0;382.39
B;009220;100;299.0;2279.0;590.43
