-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 006485     Anzahl gefertigt: 100        MIN: 0T:0h:4m:44s        MAX: 0T:0h:49m:16s        AVG: 0T:0h:9m:27s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 3.00 %
FA: 006486     Anzahl gefertigt: 99        MIN: 0T:0h:4m:40s        MAX: 0T:0h:46m:30s        AVG: 0T:0h:8m:34s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.01 %
FA: 006487     Anzahl gefertigt: 100        MIN: 0T:0h:4m:20s        MAX: 0T:0h:48m:16s        AVG: 0T:0h:8m:15s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.00 %
FA: 006561     Anzahl gefertigt: 100        MIN: 0T:0h:4m:53s        MAX: 0T:0h:48m:27s        AVG: 0T:0h:8m:13s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006562     Anzahl gefertigt: 199        MIN: 0T:0h:3m:38s        MAX: 0T:0h:55m:23s        AVG: 0T:0h:9m:30s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.51 %
FA: 006564     Anzahl gefertigt: 100        MIN: 0T:0h:4m:38s        MAX: 0T:0h:45m:34s        AVG: 0T:0h:11m:1s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 5.00 %
FA: 006565     Anzahl gefertigt: 99        MIN: 0T:0h:4m:44s        MAX: 0T:0h:52m:37s        AVG: 0T:0h:9m:55s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.04 %
FA: 006566     Anzahl gefertigt: 99        MIN: 0T:0h:4m:45s        MAX: 0T:0h:50m:49s        AVG: 0T:0h:9m:7s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.01 %
FA: 006567     Anzahl gefertigt: 100        MIN: 0T:0h:4m:46s        MAX: 0T:0h:47m:43s        AVG: 0T:0h:10m:42s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006568     Anzahl gefertigt: 99        MIN: 0T:0h:4m:30s        MAX: 0T:0h:51m:10s        AVG: 0T:0h:8m:42s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.04 %
FA: 006622     Anzahl gefertigt: 100        MIN: 0T:0h:4m:44s        MAX: 0T:0h:50m:14s        AVG: 0T:0h:10m:17s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 5.00 %
FA: 006623     Anzahl gefertigt: 99        MIN: 0T:0h:5m:8s        MAX: 0T:0h:58m:24s        AVG: 0T:0h:10m:22s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.02 %
FA: 006624     Anzahl gefertigt: 100        MIN: 0T:0h:5m:13s        MAX: 0T:0h:53m:52s        AVG: 0T:0h:11m:43s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006651     Anzahl gefertigt: 100        MIN: 0T:0h:4m:54s        MAX: 0T:0h:57m:42s        AVG: 0T:0h:9m:3s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 6.00 %
